0 486747 485878 0 0
5 486772 485903 25 25
10 486797 485928 25 25
15 486822 485953 25 25
20 486847 485978 25 25
25 486872 486003 25 25
30 486887 486018 15 15
35 486902 486033 15 15
40 486917 486048 15 15
45 486932 486063 15 15
50 486947 486078 15 15
55 486982 486113 35 35
60 487067 486198 85 85
65 487082 486213 15 15
70 487097 486228 15 15
75 487273 486404 176 176
80 487388 486519 115 115
85 487503 486634 115 115
90 487618 486749 115 115
95 487673 486804 55 55
100 487708 486839 35 35
105 487743 486874 35 35
110 487778 486909 35 35
115 487813 486944 35 35
120 487848 486979 35 35
125 487863 486994 15 15
130 487878 487009 15 15
135 487893 487024 15 15
140 487908 487039 15 15
145 487963 487094 55 55
150 487998 487129 35 35
155 488033 487164 35 35
160 488068 487199 35 35
165 488103 487234 35 35
170 488138 487269 35 35
175 488153 487284 15 15
180 488168 487299 15 15
185 488183 487314 15 15
190 488198 487329 15 15
195 488253 487384 55 55
200 488288 487419 35 35
205 488323 487454 35 35
210 488358 487489 35 35
215 488394 487525 36 36
220 488443 487562 49 37
225 488499 487600 56 38
230 488537 487638 38 38
235 488572 487673 35 35
240 488607 487708 35 35
245 488642 487743 35 35
250 488677 487778 35 35
255 488712 487813 35 35
260 488747 487848 35 35
265 488782 487883 35 35
270 488817 487918 35 35
275 488852 487953 35 35
280 488887 487988 35 35
285 488920 488021 33 33
290 488953 488054 33 33
295 488986 488087 33 33
300 489030 488131 44 44
305 489063 488164 33 33
310 489096 488197 33 33
315 489129 488230 33 33
320 489142 488243 13 13
325 489155 488256 13 13
330 489168 488269 13 13
335 489181 488282 13 13
340 489197 488298 16 16
345 489216 488317 19 19
350 489236 488337 20 20
355 489289 488390 53 53
360 489322 488423 33 33
365 489358 488459 36 36
370 489391 488492 33 33
375 489424 488525 33 33
380 489457 488558 33 33
385 489490 488591 33 33
390 489583 488684 93 93
395 489796 488897 213 213
400 489949 489050 153 153
405 490042 489143 93 93
410 490124 489225 82 82
415 490146 489247 22 22
420 490168 489269 22 22
425 490310 489411 142 142
430 490332 489433 22 22
435 490354 489455 22 22
440 490376 489477 22 22
445 490398 489499 22 22
450 490581 489682 183 183
455 491334 490435 753 753
460 491547 490648 213 213
465 491580 490681 33 33
470 491763 490864 183 183
475 491796 490897 33 33
480 491829 490930 33 33
485 491862 490963 33 33
490 491895 490996 33 33
495 491928 491029 33 33
500 491961 491062 33 33
505 491994 491095 33 33
510 492027 491128 33 33
515 492060 491161 33 33
520 492093 491194 33 33
525 492126 491227 33 33
530 492159 491260 33 33
535 492192 491293 33 33
540 492225 491326 33 33
545 492258 491359 33 33
550 492291 491392 33 33
555 492324 491425 33 33
560 492357 491458 33 33
565 492390 491491 33 33
570 492423 491524 33 33
575 492456 491557 33 33
580 492489 491590 33 33
585 492522 491623 33 33
590 492555 491656 33 33
595 492588 491689 33 33
600 492621 491722 33 33
605 492774 491875 153 153
610 492987 492088 213 213
615 493020 492121 33 33
620 493173 492274 153 153
